rank,feature,mean_abs_ensemble_shap,mean_abs_member_shap,mean_ensemble_shap,sd_ensemble_shap,min_ensemble_shap,q25_ensemble_shap,median_ensemble_shap,q75_ensemble_shap,max_ensemble_shap,positive_share
76,ine_023,0.0012082074118029077,0.0025143016914324365,-0.00010602785048175813,0.0015768433669770695,-0.004662459441839455,-0.001193452978077552,-0.00027980680728702695,0.000727918682572718,0.006847958781682049,0.418
77,ine_041,0.0012057547245593822,0.0012244047110961966,0.0008536510119966452,0.0012036687547528598,-0.005106566872856075,0.0008342280536497866,0.0009169022955338973,0.001013520310324713,0.0034897142173305933,0.944
78,sea_001,0.0011871323763077237,0.0022914515178007197,-0.0002339679704201723,0.0018444803382742935,-0.00841396097814528,-0.0008254928513513986,-0.00037220101006466325,0.00013082543232918398,0.011098724959082573,0.286
79,ine_036,0.0011288211350097652,0.00159452018310659,-2.140104529175464e-05,0.001618712081879977,-0.00924341297343779,-0.0005958362146844764,0.00030170593069337576,0.0008491578882260634,0.00459241211203064,0.618
80,dgc_012,0.0011258523190386057,0.0012603283076834087,2.7648001382216543e-05,0.0017636035236720026,-0.003467660948543374,-0.0008528157721805762,-0.00047754278261958043,0.0001948734187668917,0.006348615509129488,0.294
81,dgc_018,0.0010436982622995354,0.001234025290965661,0.0006601363415146095,0.0013973919038537787,-0.006235197521353966,0.0002676803623618719,0.0007513204801932309,0.0010198050761895208,0.006367376893611873,0.886
82,ine_040,0.0010434944757391933,0.0011883944837353647,0.0006281286510328386,0.0020275552007977117,-0.004594019639498586,5.749902674808534e-05,0.00011064749946838317,0.0011275376302650687,0.012771355423745492,0.764
83,ine_038,0.0010224369289885868,0.0011640408687592434,0.0006098622895987981,0.001128680372669647,-0.0008157405563743274,-0.00040734083441765526,0.0006574727582938269,0.0020743560261322945,0.00408189105255014,0.518
84,dgc_016,0.0010083230945084022,0.0014396995300793177,0.00027209286868561154,0.0034321617606793125,-0.0620260128739735,0.0004283468722311866,0.0005389636835731854,0.0006220819847438836,0.002469387075093285,0.938
85,rep_001,0.0009760959848149086,0.0010034030740940642,0.0002600813771063928,0.0013303994016012407,-0.0007743086009316784,-0.0006020800412955548,-0.00045632513354954647,0.0010136825602341617,0.0043965756216847365,0.294
86,ine_005,0.0009285726669573298,0.0009747240301082497,0.00041380544772224724,0.0012990141020346514,-0.0019448333260299224,-0.0003410958982511971,0.00011599101751105193,0.0004528656892201305,0.0031555883676187987,0.566
87,flota,0.0009099711991444598,0.0009099711991444538,0.0007575414130799086,0.0017447954643366361,-0.03810744651613778,0.0008130197252040122,0.0008241540802312617,0.0009095180550737064,0.001053342762781103,0.998
88,ign_001,0.0009008212202484356,0.0009239370041887071,0.00016374431706465053,0.001519413709212816,-0.004407562635092998,-0.00018815715322545882,1.5688275552707984e-05,0.000453676368957104,0.003980477082475069,0.52
89,ine_020,0.0008976636041409203,0.000897663604140919,-0.00016635724964599846,0.001962023101304952,-0.006788307215430075,-0.00012502611395058161,5.346614830337572e-05,5.346614830337572e-05,0.002876597649250389,0.628
90,sea_002,0.000890473247339603,0.0009560735876274089,0.00019864539327104036,0.0020611069840342734,-0.01825459658387723,0.00013306896674382214,0.0002313062411666309,0.000871038126588267,0.0054025344245978955,0.834
91,ine_045,0.0007929873770874352,0.0008290206541721477,0.0003122045228991245,0.0008559522261893574,-0.00336098636470446,-0.00045607371444219603,0.0005811654445785902,0.0010153918045715854,0.004113867106999034,0.648
92,ine_016,0.0007757538537619955,0.0008600527529780332,0.00020887051614883946,0.001248973515757329,-0.00400963378726977,-0.0002443625116065413,0.0002129628730720947,0.00024444898846279,0.003216582434432377,0.668
93,rep_010,0.0007731763420576554,0.0008255992021020919,0.00024322987556383443,0.0012049467699863873,-0.003308435261858679,-0.0004797129102887481,-0.0002160588270240903,0.0004370933368607451,0.009940108783833487,0.312
94,rep_003,0.0007575998479742656,0.0007575998479742624,0.0005190233180836382,0.000948092634604413,-0.006986270905280266,0.0007119998578641041,0.0007119998578641041,0.0007119998578641041,0.0007119998578641041,0.974
95,sea_009,0.0007329893518036558,0.001431910150936385,0.00013650872709015024,0.001097088793254936,-0.003054638997113402,-0.0004573673506872093,-0.00013958134191249805,0.00040398155109617974,0.0031193604977808403,0.434
96,rep_002,0.0007227232795681295,0.0007966233451390358,0.0004943227789324915,0.001067358221979327,-0.003086102307463456,0.00025414958032992854,0.0004058534946057804,0.0006205681208162041,0.005306122030290072,0.886
97,dgc_003,0.0007032117271944449,0.0007032117271944473,6.884943183014698e-05,0.0017547612958685177,-0.008833025490500988,-0.0002261736249561099,-0.0002261736249561099,-8.683815561427309e-05,0.0200331981609954,0.208
98,ine_007,0.0006286517550255091,0.0007341599057131711,-5.56702162178866e-06,0.0010305851700340685,-0.0007642648225698114,-0.0007642648225698114,-0.00017997460644838338,0.0005611498498219222,0.005300523145431272,0.414
99,ine_018,0.000620618914021327,0.0006536863424195277,0.00025066180782712134,0.000932336338549844,-0.001229168319181876,-0.00025913770385177623,-0.00022128795525710922,0.0006862783304390907,0.003243219556109629,0.476
100,ine_014,0.000614888306380773,0.0006148883063807725,0.00028512684784162765,0.0010338437917452557,-0.007302483530697024,0.00021042532497059582,0.0003987727221174722,0.0005222799768954645,0.007493197346438561,0.772
101,ine_057,0.00059666639859652,0.0010464253225564105,0.0001262888541189587,0.0007149586934205343,-0.00259285956199157,-0.0003763500364166863,0.0002027472430456579,0.0006523813754342278,0.001762337013483578,0.618
102,subramo,0.0005945858421110044,0.0013614153146549218,0.0002572601110362226,0.0013604605410306853,-0.002224028983152419,-0.00013867649866939447,-7.611848818601762e-05,9.571914978956774e-06,0.005298960409723883,0.256
103,ine_003,0.0005728181289448105,0.000615922155270357,5.201018460982833e-05,0.001226335124908228,-0.0005321263640472716,-0.0004778684132442252,-0.00013235603538153213,-0.0001242627421442996,0.009303248884896474,0.218
104,ine_044,0.0005705984664958663,0.0006349799665917809,0.0001796549828154791,0.001210530123398655,-0.0011307579665076326,-0.00018152188199344047,-0.00015009637631460833,-5.783177263634739e-05,0.00618736444622493,0.21
105,motor,0.0005668441204575551,0.000566844120457557,4.5424182914928434e-05,0.0008549775823656352,-0.0014344828778039462,-0.0004566416993219435,-0.00013299223070787665,0.00032610822689405343,0.0035190437902626708,0.304
106,ine_006,0.0005522668000763382,0.000765992966301071,1.9502191094030377e-05,0.001025097728274118,-0.004009657144458213,-0.00019970594690267985,1.6229716102155221e-06,0.00019529713593262465,0.003901328247201936,0.5
107,dgc_009,0.0005406651376459418,0.0006585964752163295,-9.597779205934191e-05,0.0010219489351362561,-0.0012406289805788875,-0.0004786880981058502,-0.0002642764375332537,-1.8751433103678637e-05,0.01660925207829686,0.24
108,ine_017,0.0005377451385213867,0.0006682472149591648,0.00018366204158861782,0.0007065309155439944,-0.0014763112024064771,-0.00022694430966692635,9.863740243206862e-05,0.0005319994661625794,0.0023446622850669275,0.566
109,ine_029,0.000518330113353027,0.000564171249950116,0.00022589721139430557,0.0008091206213969606,-0.0009803491502804434,0.00010131862231684992,0.00030563561194845644,0.0003239574185552396,0.0069464581487051385,0.762
110,tomadorprovinciaid,0.0005014846005836798,0.0005014846005836767,-0.00018954961770120178,0.0005283459544810321,-0.0006735552590532872,-0.0006735552590532872,-0.000205475019042237,8.239465407575654e-05,0.0006471811073433693,0.318
111,ine_025,0.00048709568614454634,0.0006341293875290882,0.00027600607135860227,0.0005353803941465907,-0.0017210794038191458,-0.00011789634971441866,0.00041537519597662073,0.0004683474823274649,0.0013799667039025693,0.62
112,ine_052,0.0004210899229665596,0.00042108992296656107,0.00026179518146812687,0.00042259936017552386,-0.0012473350857211758,5.221605419594888e-05,0.0004506169334404798,0.0004506169334404798,0.0004506169334404798,0.922
113,ine_031,0.00040005539395303525,0.0004948025786330124,-5.4458932816485e-06,0.0007530963423936753,-0.0015314671713824444,-0.0002928731702941033,-0.00022018161279377288,2.5180348248393592e-05,0.0034062403185362924,0.284
114,dgc_010,0.0003722259827535833,0.0005177357394466801,5.143394767415575e-05,0.000839845697439332,-0.010194225115414587,-3.756108412923827e-05,0.0001325911187526234,0.0002184678375310142,0.0025303625794353465,0.664
115,garantiaasistencia,0.00036799607978877833,0.0005867984898501386,-0.00010531319507580172,0.0008698294178289766,-0.0011761976701772643,-0.00012485783841488502,-0.00010427612113934799,-6.51015447814438e-05,0.009831665891928779,0.186
116,rep_004,0.00035584104056357124,0.00035861273050830924,0.0002451831150822571,0.0006814027737388511,-0.0067012752787050075,6.923642868739582e-05,7.68797877998766e-05,7.68797877998766e-05,0.0017619611842489703,0.896
117,ine_056,0.00033366553191740045,0.000546274996951958,8.956811442574872e-05,0.0005028491652812094,-0.0024938679513305684,-2.3697588414120194e-05,0.0002022428575429452,0.00021038347172195595,0.0014459923427506387,0.714
118,ine_033,0.00027580223676990746,0.00036492922269000896,-8.137317678989277e-06,0.00044971415068955386,-0.0021703042612946735,-0.00016496764344225783,2.0797741709231276e-05,0.0001198244872952459,0.0018212993700079353,0.522
