rank,feature,mean_abs_shap,mean_shap,sd_shap,min_shap,q25_shap,median_shap,q75_shap,max_shap,positive_share
33,ine_054,0.000245375782336282,0.000149259657405837,0.000307902420131309,-0.000465387930595915,-8.06021679245679e-05,4.79260161263964e-05,0.000351568431749705,0.0012269501790479,0.59
34,contratalunas,0.000244975185053011,8.16072147823719e-05,0.00045014592031047,-0.00046605033664662,-0.000129942572007053,-6.60743886788538e-05,-7.75204553327136e-19,0.00216787981638751,0.21
35,ine_028,0.00024182702983604,0.000182916697943388,0.000292051743552697,-0.000366200282973654,-1.55074872790932e-05,0.000126846759586569,0.000318784735472689,0.00147990727217819,0.72
36,ine_018,0.000236378583489289,0.000149316605483864,0.000334753456759089,-0.000283783698119588,-7.6131205433464e-05,6.26524573968685e-05,0.000291593033593855,0.00246484699295266,0.576
37,ine_017,0.000235061939643045,0.000161438856107567,0.000493590124764184,-0.000353079400985934,-5.82223862612029e-05,3.6864442497865e-05,0.000173907984918133,0.00448876944751046,0.564
38,rep_005,0.000232079124648432,0.000164929812749903,0.000350596955586582,-0.000323330170132269,-5.67806059043506e-05,3.79851760113861e-05,0.000245087583676128,0.00261518743816572,0.6
39,sea_006,0.000231170986822574,0.000112138073418269,0.000397027042767254,-0.000590123941780064,-9.66627218412831e-05,1.03959769139949e-05,0.000184505248842788,0.00295314363573698,0.528
40,dgc_012,0.000228012019065689,0.000141797523163436,0.000330137699896011,-0.0003768934326925,-7.20164114814043e-05,1.11128028574114e-05,0.000270190625985636,0.00144617456460184,0.524
41,dgt_002,0.000226617062153569,0.000160916827673599,0.000296231985038683,-0.000466171910138673,-1.72219606569995e-05,0.000120054643262849,0.000283104942277243,0.00248868573930256,0.716
42,ine_029,0.000218826667580148,0.000165988827189561,0.000398852873409571,-0.000338229643710116,-3.37268009501689e-05,3.84847425221098e-05,0.000192690922825096,0.00368509264822606,0.634
43,dgc_007,0.000211154054286333,0.000108312901940495,0.000390273626240565,-0.000662682515213349,-8.30599669410075e-05,3.64701921280511e-06,0.000153315710236983,0.00370359302294814,0.514
44,puertas,0.000202919569958138,7.40395769538348e-05,0.000401719341925406,-0.00165160625591311,-9.25012869543403e-05,-2.74875027920039e-05,8.03492926385664e-05,0.00280530347479388,0.424
45,rep_001,0.000202771254581718,0.000133870603304096,0.000296653841386341,-0.000359517180069658,-4.81346451929795e-05,4.3160456456938e-05,0.00022275631622863,0.00151687894869952,0.632
46,ine_051,0.000202764076760928,0.000148777027152479,0.000258264335531256,-0.000399181154981582,-2.71221757020414e-05,8.60126815906586e-05,0.000269688787597682,0.00160638623022224,0.704
47,ine_016,0.000200865388901041,9.99973005740466e-05,0.000300013677775499,-0.000381960088630781,-8.17068799920306e-05,2.71193343126645e-05,0.000189419795287785,0.00185785181009357,0.554
48,ine_052,0.000196992302778375,0.00012596693966762,0.000244277925048051,-0.000381388860698207,-5.01047280609778e-05,5.13135409444814e-05,0.000274881990514262,0.00129147916207645,0.62
49,ign_001,0.00019449200163408,0.000118121633972986,0.000333135693565829,-0.000336456690851591,-6.48790459916343e-05,1.19223956996646e-05,0.000193367003771151,0.00297593100091147,0.542
50,sea_001,0.00019406112851517,9.66238448818774e-05,0.000257567076724477,-0.000430749521111125,-8.43393419438882e-05,3.15236681355185e-05,0.00022232089940598,0.00120761445179889,0.558
51,dgt_001,0.000193729780916206,0.000133165826816716,0.000242837964567853,-0.00035316824393008,-3.74660876228679e-05,7.37581860529121e-05,0.000264902582192407,0.00126002268430102,0.672
52,ine_040,0.000192582684972688,9.68555040696442e-05,0.000307047793226635,-0.000283793233895344,-8.74548270156513e-05,-1.09656589019683e-05,0.000219228768196834,0.00201586980987584,0.476
53,ine_030,0.000191941097226716,0.000119987207512292,0.000311827364302151,-0.000290951893427923,-6.06800010830795e-05,1.07087055134419e-05,0.00015233163141984,0.00188432066099734,0.526
54,valorvehiculofabrica,0.000191899030485385,6.79774459648059e-05,0.000260525455942641,-0.000717945331642473,-8.63779117700323e-05,3.05964943081781e-05,0.000196900759304608,0.00118143204544171,0.552
